"Date Time","Pressure (psi) (840058)","Temperature (°C) (840058)","Depth (ft) (840058)","Actual Conductivity (µS/cm)","Specific Conductivity (µS/cm) (840058)","Salinity (PSU) (840058)","Total Dissolved Solids (ppt) (840058)","Resistivity (Ω⋅cm) (840058)","Density (g/cm³) (840058)","Barometric Pressure (mbar) (670831)","Temperature (°C) (670831)","Marked"
"2025-07-24 16:26:11","0.44907355","11.822713","1.0363503","16.974432","22.683573","0.009235213","0.014744323","58912.137","0.9995269","920.2378","26.759247",""
"2025-07-24 16:26:12","0.44904396","11.822694","1.036282","16.9748","22.684076","0.009235451","0.014744651","58910.855","0.9995269","920.2386","26.759312",""
"2025-07-24 16:26:13","0.46392405","11.822372","1.0706215","16.962706","22.6681","0.00922786","0.014734265","58952.863","0.999527","920.25653","26.759703",""
"2025-07-24 16:26:14","0.46479717","11.822344","1.0726364","16.96216","22.667389","0.009227522","0.014733803","58954.754","0.999527","920.258","26.759924",""
"2025-07-24 16:26:15","0.46567032","11.822315","1.0746514","16.961617","22.666677","0.009227184","0.014733341","58956.65","0.999527","920.2595","26.760143",""
"2025-07-24 16:26:16","0.47339347","11.8220825","1.0924746","16.977652","22.688242","0.009237422","0.014747357","58900.97","0.999527","920.2327","26.75115",""
"2025-07-24 16:26:17","0.47422948","11.822061","1.094404","16.978294","22.689116","0.009237836","0.014747924","58898.734","0.999527","920.23157","26.750628",""
"2025-07-24 16:26:18","0.46405655","11.821036","1.0709271","16.978338","22.689766","0.009238135","0.014748348","58898.58","0.99952716","920.24774","26.758858",""
"2025-07-24 16:26:19","0.4636091","11.820967","1.0698946","16.978722","22.69032","0.009238397","0.014748707","58897.246","0.99952716","920.24817","26.759157",""
"2025-07-24 16:26:20","0.46316168","11.820898","1.068862","16.979105","22.690872","0.0092386585","0.014749066","58895.914","0.99952716","920.24854","26.759457",""
"2025-07-24 16:26:21","0.46962255","11.821118","1.0837721","16.959337","22.664324","0.009226055","0.01473181","58964.582","0.9995271","920.24915","26.751043",""
"2025-07-24 16:26:22","0.46975622","11.821106","1.0840806","16.95814","22.662731","0.009225298","0.014730775","58968.742","0.9995271","920.2496","26.750744",""
"2025-07-24 16:26:23","0.46988985","11.821094","1.084389","16.956942","22.661139","0.0092245415","0.014729739","58972.902","0.9995271","920.25","26.750444",""
"2025-07-24 16:26:24","0.4779054","11.8204","1.1028868","16.954208","22.657883","0.009222987","0.014727625","58982.414","0.9995272","920.29395","26.767895",""
"2025-07-24 16:26:25","0.47854","11.820364","1.1043512","16.953547","22.65702","0.009222576","0.014727064","58984.71","0.9995272","920.2966","26.768719",""
"2025-07-24 16:26:26","0.46343216","11.820108","1.069486","16.943724","22.644043","0.009216413","0.0147186285","59018.906","0.9995272","920.25543","26.752295",""
"2025-07-24 16:26:27","0.46268246","11.820076","1.0677559","16.943056","22.643167","0.009215997","0.014718059","59021.234","0.9995272","920.2539","26.751694",""
"2025-07-24 16:26:28","0.46193275","11.820044","1.0660257","16.942387","22.642292","0.00921558","0.01471749","59023.566","0.9995272","920.25244","26.751095",""
"2025-07-24 16:26:29","0.45545498","11.819499","1.0510767","16.946402","22.647972","0.009218272","0.014721182","59009.582","0.9995273","920.2425","26.741953",""
"2025-07-24 16:26:30","0.4546827","11.81946","1.0492945","16.946394","22.647985","0.009218277","0.014721191","59009.61","0.9995273","920.2409","26.740986",""
"2025-07-24 16:26:31","0.45391047","11.819421","1.0475123","16.946386","22.647999","0.009218283","0.014721199","59009.633","0.9995273","920.23926","26.740017",""
"2025-07-24 16:26:32","0.4466454","11.818789","1.0307465","16.926933","22.622366","0.009206105","0.0147045385","59077.46","0.99952734","920.27484","26.757683",""
