Date Time,Pressure (psi) (790478),Temperature (°C) (790478),Depth (ft) (790478),Actual Conductivity (µS/cm) (790478),Specific Conductivity (µS/cm) (790478),Salinity (PSU) (790478),Total Dissolved Solids (ppt) (790478),Resistivity (Ω⋅cm) (790478),Density (g/cm³) (790478),Barometric Pressure (mbar) (670831),Temperature (°C) (670831),Latitude (°),Longitude (°),Marked
2025-07-09 15:05:24,1.0788715,10.209832,2.489361,15.48203,21.577507,0.008691434,0.014025379,64591.008,0.9996902,925.2163,20.378326,46.74942406901511,-121.80760385503869, 
2025-07-09 15:05:25,1.0785874,10.209502,2.4887056,15.473107,21.56526,0.008685646,0.01401742,64628.26,0.9996902,925.2627,20.380104,46.74936625751454,-121.80761173270204, 
2025-07-09 15:05:26,1.0785754,10.209523,2.488678,15.472727,21.564718,0.00868539,0.014017068,64629.848,0.9996902,925.2647,20.379807,46.74936625751454,-121.80761173270204, 
2025-07-09 15:05:27,1.0785635,10.209544,2.4886503,15.472347,21.564177,0.008685134,0.014016715,64631.434,0.9996902,925.26666,20.379507,46.7493930686182,-121.80765023934669, 
2025-07-09 15:05:28,1.0794654,10.2100525,2.4907317,15.468523,21.558556,0.008682488,0.014013062,64647.414,0.9996901,925.2772,20.38,46.74940354471534,-121.8076628062262, 
2025-07-09 15:05:29,1.0795132,10.210082,2.490842,15.468101,21.557951,0.0086822035,0.014012668,64649.18,0.9996901,925.2788,20.38,46.74940922959733,-121.80767568656104, 
2025-07-09 15:05:30,1.0779146,10.209563,2.487153,15.472805,21.564804,0.008685431,0.014017124,64629.523,0.9996902,925.2371,20.37157,46.7494060388387,-121.8076618359718, 
2025-07-09 15:05:31,1.0778348,10.209543,2.4869692,15.473023,21.56512,0.00868558,0.014017329,64628.61,0.9996902,925.2347,20.371038,46.749408124905266,-121.8076570162245, 
2025-07-09 15:05:32,1.0777551,10.209523,2.4867852,15.473242,21.565437,0.008685729,0.014017534,64627.695,0.9996902,925.23224,20.370506,46.74941166548006,-121.80765747389664, 
2025-07-09 15:05:33,1.0784785,10.209823,2.4884546,15.473926,21.56622,0.008686102,0.014018042,64624.844,0.9996901,925.23126,20.370312,46.749414607487346,-121.80766426645276, 
2025-07-09 15:05:34,1.0784811,10.209826,2.4884605,15.474092,21.566448,0.00868621,0.014018191,64624.15,0.9996901,925.2301,20.370085,46.74941573260042,-121.80766759665264, 
2025-07-09 15:05:35,1.0784837,10.209831,2.4884667,15.474257,21.566677,0.008686318,0.014018339,64623.457,0.9996901,925.22894,20.369856,46.74941573610469,-121.80766760702402, 
